year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2024,TPE PW Equity 2024,9244.49,713.093,17131.699,719.539,356.612,12827.7002,19.366,52.191,2.678,21.614,1.042,18.439,,879.562,,,,2233.0,,20684.8332,32535.0,6587.8332,TAURON POLSKA ENERGIA SA,1752.5494,3.759,15395.0,1339.0,45714.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4739088.601572365,365559.47468827834,8782404.321296781,13887052.397557424
BMO,2036821.2370115865,157114.4504850244,3774605.021671162,5968540.709167773
TD,942406.1608299372,72694.46302010196,1746452.2474940622,2761552.871344101
Scotiabank,790380.4062722778,60967.63964804087,1464720.5146599037,2316068.5605802224
CIBC,1061400.4096551808,81873.33236579214,1966970.5143915303,3110244.2564125033
National Bank of Canada,702858.6333621806,54216.465315029534,1302526.5442078286,2059601.6428850386
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,51915.271934936056,4004.5926827655558,96208.563906445,152128.4285241466
OMERS,0.0,0.0,0.0,0.0
CPPIB,254662.11807244906,19643.893147446415,471935.8244300418,746241.8356499373
Healthcare of Ontario Pension Plan Trust Fund,63712.53896804794,4914.599458741608,118071.07327939026,186698.2117061798
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,16283.51215085409,1256.0626416588689,30176.348134133084,47715.922926646046
