year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,600027 CH Equity 2018,164309.0,39.0,,,,,,,,,,,,,,,,,,179569.0878,87419.418,44015.9858,HUADIAN POWER INTL CORP-A,9862.977,4.75,118539.8,6741.217,226428.52

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2441577.4295119843,579.5271089895708,0.0,2442156.956620974
BMO,2220643.421372605,527.0867294763622,0.0,2221170.5081020813
TD,620246.5172323824,147.22026287094994,0.0,620393.7374952534
Scotiabank,194512.26429194276,46.16897618137635,0.0,194558.43326812415
CIBC,505947.65104636137,120.09055128330216,0.0,506067.7415976447
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,1351.3240001090696,0.3207471045667231,0.0,1351.6447472136363
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,2157.638873102326,0.51213211723637,0.0,2158.1510052195626
OMERS,0.0,0.0,0.0,0.0
CPPIB,782554.7148145436,185.74535708796964,0.0,782740.4601716315
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
