year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,902 HK Equity 2018,348105.0,119.1,,,,,,,,,,,,,,,,,,337936.1088,169550.624,68657.2125,HUANENG POWER INTL INC-H,15283.3351,4.98,256052.5077,15402.5773,403441.4568

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,530225.0886605687,181.41022984293164,0.0,530406.4988904116
BMO,305641.0950269792,104.57147819684641,0.0,305745.66650517605
TD,455084.89708928985,155.70190386042836,0.0,455240.5989931503
Scotiabank,188758.04264555604,64.58132712568255,0.0,188822.62397268173
CIBC,202979.92100975555,69.44717424990128,0.0,203049.36818400546
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,6332.665268051773,2.166646366541607,0.0,6334.831914418314
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,201190.14451686342,68.83482343533828,0.0,201258.97934029877
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
