year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,CGAS5 BZ Equity 2018,20.326,,,,,,,,,,,,,,,,,,,11218.5258,6840.011,8169.5988,CIA DE GAS DE SAO PAULO-PR A,132.0264,58.748,3651.545,602.618,8360.577

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1754.1403274295428,,0.0,1754.1403274295428
BMO,1594.0969387627702,,0.0,1594.0969387627702
TD,447.99758563419294,,0.0,447.99758563419294
Scotiabank,206.09884318921513,,0.0,206.09884318921513
CIBC,337.9929469731121,,0.0,337.9929469731121
National Bank of Canada,0.0,,0.0,0.0
Sun Life Financial,1.0474499678001323,,0.0,1.0474499678001323
Power Corp of Canada,0.0,,0.0,0.0
Manulife,0.0,,0.0,0.0
Brookfield Asset Management,0.0,,0.0,0.0
Fairfax,0.0,,0.0,0.0
Intact Financial,1.438066701635336,,0.0,1.438066701635336
OMERS,0.0,,0.0,0.0
CPPIB,488.26096527530825,,0.0,488.26096527530825
Healthcare of Ontario Pension Plan Trust Fund,0.0,,0.0,0.0
OTPP,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
Investment Management of Ontario,0.0,,0.0,0.0
