year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,ENAT3 BZ Equity 2018,58.631,0.023,23.719,1.786,,21.625,,0.133,0.175,,,,,,,,,,,424.5475,797.204,2444.7705,ENAUTA PARTICIPACOES SA,261.472,9.35,289.825,2310.048,3943.533

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,54306.58781386637,21.3036025262903,21969.5716661339,76297.46308252656
BMO,17886.867666719638,7.016731018310308,7236.080131447922,25129.96452918587
TD,21865.01271100907,8.577293451471212,8845.427103280246,30719.017107740787
Scotiabank,6714.731066985633,2.634081194942429,2716.4248636017164,9433.790011782292
CIBC,9935.254109128033,3.89744068001475,4019.2780647508635,13958.42961455891
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,56.90978478347968,0.02232479490406155,23.022687405627646,79.95479698401138
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1372.7177291283579,0.5384951266386763,555.3289525540332,1928.5851768090297
OMERS,0.0,0.0,0.0,0.0
CPPIB,4025.2221228945623,1.579030015291824,1628.391866639425,5655.193019549279
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
