year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,FTI US 2018,574.058,69.411,,,,,,,,,,,,,,,,,,7950.7,12552.9,8811.0,TECHNIPFMC PLC,458.0,14.567,4609.9,5540.0,24784.5

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.10096716615662239,0.01220822977834525,0.0,0.11317539593496764
BMO,0.02950877032141641,0.0035679900929519916,0.0,0.033076760414368404
TD,0.009342401406650777,0.0011296165614572693,0.0,0.010472017968108047
CIBC,0.019936902080581093,0.002410628038134151,0.0,0.022347530118715243
Scotiabank,0.006152343314039269,0.0007438974838270344,0.0,0.006896240797866303
National Bank of Canada,0.06220447141913517,0.007521321130745659,0.0,0.06972579254988083
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.09989267239473384,0.01207830965440926,0.0,0.1119709820491431
Fairfax,0.03406768082351606,0.004119221043241403,0.0,0.03818690186675746
Intact Financial,0.002840971409601634,0.0003435100051072523,0.0,0.0031844814147088864
OMERS,0.0007785714561343775,9.413930881852231e-05,0.0,0.0008727107649528998
HOOPP,0.004559757483600046,0.0005513333612529792,0.0,0.005111090844853025
OTPP,0.00414401987175122,0.0005010653336738168,0.0,0.004645085205425037
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0008449617752808988,0.00010216675280898877,0.0,0.0009471285280898876
CPP,0.01994882497400976,0.0024120696693905345,0.0,0.022360894643400294
