year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,GLOW TB Equity 2018,11534.9,,,,,,,,,,,,,,,,,,,166186.627,52686.931,130194.9881,GLOW ENERGY PCL,1462.865,89.0,36397.2223,10042.1519,104428.0603

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,225719.6607409191,,0.0,225719.6607409191
BMO,103349.8606195579,,0.0,103349.8606195579
TD,91802.02438683582,,0.0,91802.02438683582
Scotiabank,27407.78252507863,,0.0,27407.78252507863
CIBC,37631.53491236426,,0.0,37631.53491236426
National Bank of Canada,0.0,,0.0,0.0
Sun Life Financial,385.5746333448913,,0.0,385.5746333448913
Power Corp of Canada,0.0,,0.0,0.0
Manulife,0.0,,0.0,0.0
Brookfield Asset Management,0.0,,0.0,0.0
Fairfax,0.0,,0.0,0.0
Intact Financial,5071.210119032224,,0.0,5071.210119032224
OMERS,0.0,,0.0,0.0
CPPIB,21846.541777133123,,0.0,21846.541777133123
Healthcare of Ontario Pension Plan Trust Fund,0.0,,0.0,0.0
OTPP,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
Investment Management of Ontario,0.0,,0.0,0.0
