year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,GTE CA 2018,590.24,,,,,,,,,,,,,,,,,,,1155.6125,613.431,839.9615,GRAN TIERRA ENERGY INC,39.093,,399.415,83.764,1676.584

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1.0889773634624922,,0.0,1.0889773634624922
BMO,0.4136577459800241,,0.0,0.4136577459800241
TD,0.1064771495360204,,0.0,0.1064771495360204
CIBC,0.21502866614719843,,0.0,0.21502866614719843
Scotiabank,0.06635585464333782,,0.0,0.06635585464333782
National Bank of Canada,0.6709038577601474,,0.0,0.6709038577601474
Power Corp of Canada,0.0,,0.0,0.0
Brookfield Asset Management,1.0773884536374585,,0.0,1.0773884536374585
Fairfax,0.3674356194658922,,0.0,0.3674356194658922
Intact Financial,0.03064118438761777,,0.0,0.03064118438761777
OMERS,0.008397251540695616,,0.0,0.008397251540695616
HOOPP,0.049179083374654674,,0.0,0.049179083374654674
OTPP,0.04469516186158532,,0.0,0.04469516186158532
OPSEU,0.0,,0.0,0.0
IMCO,0.009113301692994263,,0.0,0.009113301692994263
CPP,0.2151572600410852,,0.0,0.2151572600410852
