year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,MPC US 2018,37020.0,8180.0,,,,,,,,,,,,,,,,,,75841.8,97102.0,40126.8,MARATHON PETROLEUM CORP,518.0,59.01,27524.0,1687.0,92940.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,13634.121473429228,3012.6178728430873,0.0,16646.739346272316
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,4640.125444839858,1025.2897390272835,0.0,5665.415183867141
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,0.0,0.0,0.0,0.0
Intact Financial,76.66601872065553,16.940249409372292,0.0,93.60626813002781
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,13993.317916205628,3091.986508767208,0.0,17085.304424972834
Scotiabank,1908.7264675977153,421.7553350877718,0.0,2330.4818026854873
TD,4580.69590298753,1012.1580898551592,0.0,5592.853992842689
