year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,NI US 2018,12580.8,43.669,2892.25,,,2892.25,,,,,,,,,,,,,,19330.9187,5114.5,9439.4187,NISOURCE INC,356.5,25.35,9132.6,112.8,21804.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.07528819663439656,0.0002613315734156384,0.017308302072668945,0.09285783028048115
BMO,0.09175619850404558,0.00031849337343198893,0.021094196324822415,0.11316888820229998
TD,0.15838923131993288,0.0005497821555473537,0.03641272846600183,0.19535174194148205
CIBC,0.048913537440605316,0.00016978294436711445,0.011244927084334123,0.06032824746930655
Scotiabank,0.006750601284377818,2.343189681796825e-05,0.0015519224981512898,0.008325955679347076
National Bank of Canada,1.2724890085021867,0.004416914863306148,0.2925375441021596,1.5694434674676525
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,2.0434596541416266,0.007093017903210501,0.46977904304107204,2.5203317150859093
Fairfax,0.6969072866319617,0.002419022979455292,0.16021477964527625,0.8595410892566933
Intact Financial,0.007974106117360807,2.7678783546279178e-05,0.0018331988759011189,0.009834983776808205
OMERS,0.015926887531750235,5.528354728030021e-05,0.0036614953312750073,0.019643666410305544
HOOPP,0.09327691638469221,0.0003237719112936478,0.021443800188670516,0.11504448848465637
OTPP,0.0847723582809183,0.0002942518849174473,0.019488653602154547,0.10455526376799029
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.017285004552240066,5.9997684073490665e-05,0.003973718238602977,0.021318720474916533
CPP,0.4080841767936409,0.0014164940159927433,0.09381608962318835,0.503316760432822
