year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,NOV US 2018,1010.0,320.0,,,,,,,,,,,,,,,,,,11208.065,8453.0,9854.065,NOV INC,378.0,25.7,2711.0,1427.0,19796.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.10616194331983807,0.03363546719044374,0.0,0.1397974105102818
BMO,0.07059683288064368,0.02236731338792671,0.0,0.09296414626857039
TD,0.012180597550351047,0.003859199223873599,0.0,0.016039796774224645
CIBC,0.008762568544047557,0.002776259340688335,0.0,0.011538827884735892
Scotiabank,0.007287654384256649,0.002308959804912998,0.0,0.009596614189169647
National Bank of Canada,0.09785814585148363,0.0310045610618562,0.0,0.12886270691333984
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.15714805514272537,0.04978948281749714,0.0,0.20693753796022252
Fairfax,0.05359421923845642,0.016980346689411934,0.0,0.07057456592786836
Intact Financial,0.000613232204171578,0.00019429139142069796,0.0,0.0008075235955922759
OMERS,0.019707374570798953,0.0062439206560947185,0.0,0.02595129522689367
HOOPP,0.007173269102649516,0.002272718923611728,0.0,0.009445988026261244
OTPP,0.0075655204222825805,0.0023969965694360653,0.0,0.009962516991718646
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.001329267667708707,0.0004211541125413725,0.0,0.0017504217802500794
CPP,0.031382872956490546,0.00994308846146235,0.0,0.041325961417952896
