year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2018,WMB US 2018,11740.0,1150.0,,,,,,,,,,,,,,,,,,50298.5,8686.0,26680.5,WILLIAMS COS INC,973.626,22.05,22414.0,168.0,45302.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.04937043908472479,0.0048361162646876924,0.0,0.05420655534941248
BMO,0.04173914207005116,0.0040885871704053525,0.0,0.04582772924045651
TD,0.05229218342984577,0.005122317797642472,0.0,0.05741450122748824
CIBC,0.016148797811135474,0.0015818669065422312,0.0,0.017730664717677706
Scotiabank,0.003945674931129476,0.0003865013774104683,0.0,0.0043321763085399445
National Bank of Canada,0.42011207511103615,0.04115237533029741,0.0,0.4612644504413336
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.6746479301362418,0.06608561496223835,0.0,0.7407335450984801
Fairfax,0.2300838470043665,0.02253802589906486,0.0,0.25262187290343135
Intact Financial,0.002632650062779933,0.0002578830981428384,0.0,0.0028905331609227715
OMERS,0.037789066921534456,0.003701654766589832,0.0,0.04149072168812429
HOOPP,0.030795361406270493,0.00301658139839958,0.0,0.03381194280467007
OTPP,0.027987582691478795,0.0027415434493356567,0.0,0.030729126140814453
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0057066419294990725,0.0005589981447124304,0.0,0.006265640074211503
CPP,0.13472893611439066,0.01319746818837728,0.0,0.14792640430276793
