year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,CNR US 2019,7700.0,464.0,61190.0,,,,,,,,,,,,,,,,,1221.1873,1288.529,376.2823,CORE NATURAL RESOURCES INC,26.9383,14.51,788.002,80.293,2693.802

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,590871.608364252,35605.76964688479,0.0,626477.3780111368
Brookfield Asset Management,5269.315086040455,317.5275584315287,0.0,5586.8426444719835
CIBC,341624.36925680534,20586.195757812686,0.0,362210.56501461804
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,13227.802104962153,797.1039190522647,0.0,14024.906024014417
Intact Financial,13065.507200312106,787.3240702525736,0.0,13852.831270564679
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,948769.7507961444,57172.61874927415,0.0,1005942.3695454185
Scotiabank,218319.75647007578,13155.891818456515,0.0,231475.6482885323
TD,408616.4972415657,24623.12398962162,0.0,433239.62123118737
