year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,EQT US 2019,879.36,,,,,,,,,,,,,,,,,,,8128.7469,4416.484,2781.3639,EQT CORP,255.141,10.9,5351.979,4.596,18809.227

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,9233.91012554668,,0.0,9233.91012554668
Brookfield Asset Management,0.0,,0.0,0.0
CIBC,9812.502623076398,,0.0,9812.502623076398
Fairfax,0.0,,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,15.993974639564424,,0.0,15.993974639564424
Intact Financial,585.9672791467524,,0.0,585.9672791467524
Investment Management of Ontario,0.0,,0.0,0.0
Manulife,0.0,,0.0,0.0
National Bank of Canada,0.0,,0.0,0.0
OMERS,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
OTPP,0.0,,0.0,0.0
Power Corp of Canada,0.0,,0.0,0.0
RBC,28030.234753359677,,0.0,28030.234753359677
Scotiabank,6191.678656072297,,0.0,6191.678656072297
TD,12477.7324487745,,0.0,12477.7324487745
