year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,GAIL IN Equity 2019,3424.27,396.616,0.989,,,,,,0.989,,,,,,,,,,,805239.1099,762341.7,783975.4099,GAIL INDIA LTD,6765.2128,115.88,34669.7,13865.5,684074.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,570.1064240484413,66.03256445326934,0.16465852674698797,636.3036470284577
BMO,374.3359907773556,43.3574581788678,0.10811597650851268,417.80156493273194
TD,1215.308920456486,140.76312989214333,0.3510063523996252,1356.423056701029
Scotiabank,343.11912175193345,39.74176498721328,0.09909989907707692,382.9599866382238
CIBC,59.95717939162877,6.944539029220895,0.017316873499554897,66.91903529434921
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.10482787975516067,0.012141686945530816,3.0276459822926903e-05,0.11699984316051441
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,230.97512955552716,26.75268947360896,0.06671039466234158,257.79452942379845
Healthcare of Ontario Pension Plan Trust Fund,25.232944222731803,2.9226052285138135,0.007287796183210364,28.162837247428826
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
