year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,KEL CN Equity 2019,210.055,12.565,,,,,,,,,,,,,,,,,,1291.6098,394.356,914.5178,KELT EXPLORATION LTD,184.302,4.87,385.457,8.365,1605.465

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,353032.0731756124,21117.554923479893,0.0,374149.6280990923
BMO,262855.804266467,15723.420916465486,0.0,278579.22518293245
TD,84478.3651778019,5053.298700145585,0.0,89531.66387794749
Scotiabank,49092.653445345735,2936.6079861977537,0.0,52029.26143154349
CIBC,59572.23008671893,3563.4718099527427,0.0,63135.70189667168
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,302.2711859736355,18.08115708628088,0.0,320.3523430599164
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,2734.2220348253472,163.55478264064405,0.0,2897.7768174659914
OMERS,0.0,0.0,0.0,0.0
CPPIB,52391.45190503673,3133.9344133050226,0.0,55525.386318341756
Healthcare of Ontario Pension Plan Trust Fund,15007.672507850588,897.7239535414182,0.0,15905.396461392005
OTPP,723.7511451390011,43.29310484716645,0.0,767.0442499861675
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
