year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,MPC US 2019,36800.0,8200.0,426000.0,,,,,,,,,,,426000.0,,,,,,77780.75,124880.0,39222.75,MARATHON PETROLEUM CORP,659.0,60.25,30538.0,1393.0,98556.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.6370307028446501,0.14194705878603617,7.3743228101038305,8.153300571734517
BMO,0.8228314026935899,0.1833483016871586,9.525167868137752,10.5313475725185
TD,0.25107999821532145,0.05594717351537055,2.9065238923838845,3.2135510641145766
CIBC,0.06141378664168117,0.013684593762548521,0.7109313344933744,0.7860297148976041
Scotiabank,0.03836989502265904,0.008549813564831634,0.44417324129491176,0.49109294988240243
National Bank of Canada,0.8957788630322963,0.19960289882784862,10.369614012276038,11.464995774136183
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.8727152685622502,0.1944637283209362,10.102627837160831,11.169806834044017
Fairfax,0.4750845261997183,0.10586122594667637,5.499619786985869,6.080565539132264
Intact Financial,0.015252821385547928,0.003398726504388397,0.1765679866913972,0.19521953458133354
OMERS,0.008072539533816472,0.0017987723961221485,0.09344841960341893,0.10331973153335755
HOOPP,0.04365307379008356,0.009727043616268619,0.5053317781134673,0.5587118955198195
OTPP,0.14065771522904436,0.03134220828473271,1.6282659425970896,1.8002658661108666
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.012167917853796584,0.002711329521769891,0.14085687515536263,0.1557361225309291
CPP,0.19054814871471276,0.04245909835490882,2.205801938925751,2.4388091859953724
