year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,MUR US Equity 2019,1219.97,30.349,,,,,,,,,,,,,,,,,,7546.0497,2829.053,4098.6677,MURPHY OIL CORP,163.992,26.8,3416.991,306.76,11718.504

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,142123.2942304642,3535.5786261960197,0.0,145658.87285666022
BMO,38454.64324419372,956.630054688259,0.0,39411.27329888198
TD,36246.077421694856,901.6879133675559,0.0,37147.76533506241
Scotiabank,10485.03229964215,260.8344838494714,0.0,10745.866783491621
CIBC,16071.632289194853,399.8114448263274,0.0,16471.44373402118
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,11.310714454845902,0.2813748477340576,0.0,11.592089302579959
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,5200.5474461859885,129.37319314761723,0.0,5329.920639333605
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,3478.0446948651143,86.5227656782227,0.0,3564.567460543337
Healthcare of Ontario Pension Plan Trust Fund,12650.73646736475,314.71036258928723,0.0,12965.446829954037
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
