year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,NFG US 2019,1990.49,11.355,,,,,,,,,,,,,,,,,,6218.4033,1693.332,4049.9133,NATIONAL FUEL GAS CO,86.2356,46.92,2188.918,20.428,6462.157

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,7784.00186277074,44.40481547345717,0.0,7828.406678244198
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,898.9063425308389,5.12792403852201,0.0,904.0342665693609
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,629.4938970965131,3.591026933835843,0.0,633.0849240303489
Intact Financial,203.13262434531623,1.1587955475491292,0.0,204.29141989286535
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,2805.0949272568378,16.002016035750692,0.0,2821.0969432925885
Scotiabank,3559.940772517278,20.308128888833252,0.0,3580.2489014061116
TD,2552.1110109813953,14.558837537336911,0.0,2566.669848518732
