year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,OKEA NO Equity 2019,193.754,0.0,,,,,,,,,,,,,,,,,,323.7575,333.8147,203.419,OKEA ASA,92.848,17.5,309.7899,189.4514,1251.192

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,716966.6657195247,0.0,0.0,716966.6657195247
BMO,265417.2342701517,0.0,0.0,265417.2342701517
TD,462764.9685919211,0.0,0.0,462764.9685919211
Scotiabank,168960.7573825454,0.0,0.0,168960.7573825454
CIBC,83676.95571210163,0.0,0.0,83676.95571210163
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,1997.365722965898,0.0,0.0,1997.365722965898
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,66726.492952969,0.0,0.0,66726.492952969
Healthcare of Ontario Pension Plan Trust Fund,15016.913680629636,0.0,0.0,15016.913680629636
OTPP,4324.292027785015,0.0,0.0,4324.292027785015
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
