year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,OXY US 2019,21618.699,5905.27,259100.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1900.0,24000.0,233200.0,0.0,0.0,0.0,0.0,,84404.3449,20393.0,36846.3449,OCCIDENTAL PETROLEUM CORP,809.5,41.21,40090.0,3032.0,107190.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,1255.3613282248518,342.9090525163597,15045.499275560438,16643.76965630165
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,346.04028074486166,94.52286137450774,4147.291043785459,4587.854185904828
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,2091.9835360895727,571.4371441206371,25072.41227609526,27735.83295630547
Intact Financial,56.56036139421797,15.44978286299437,677.8756500213947,749.885794278607
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,69.88607641481421,19.089777348308978,837.5842782712486,926.5601320343718
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,4909.910509787825,1341.1698472759508,58845.253041638876,65096.33339870265
Scotiabank,155.93938061196945,42.59572447659524,1868.9327011103344,2067.467806198899
TD,2333.0180977642913,637.2770989680988,27961.2102990438,30931.50549577619
