year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,PR US 2019,772.063,39.838,,,,,,,,,,,,,,,,,,2351.359,944.33,1279.026,PERMIAN RESOURCES CORP,267.7,4.62,1069.975,10.223,4688.288

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.03531859878532571,0.0018224190751399893,0.0,0.0371410178604657
BMO,0.030890343090758124,0.0015939236669152933,0.0,0.032484266757673415
TD,0.16153837328560952,0.008335285740868443,0.0,0.16987365902647797
CIBC,0.038567354530713215,0.001990052974685425,0.0,0.040557407505398636
Scotiabank,0.0019014456703773028,9.811348635602404e-05,0.0,0.001999559156733327
National Bank of Canada,0.5763209390888065,0.029737823948848576,0.0,0.6060587630376552
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.5614824192573099,0.02897216498960928,0.0,0.5904545842469192
Fairfax,0.30565708969637834,0.0157717273581616,0.0,0.32142881705453996
Intact Financial,0.009813270559785337,0.0005063590310126613,0.0,0.010319629590797998
OMERS,0.0036743173954243307,0.00018959263220606933,0.0,0.0038639100276304
HOOPP,0.015596683565463095,0.0008047797652276029,0.0,0.0164014633306907
OTPP,0.09049553397194428,0.0046695167134991784,0.0,0.09516505068544345
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.007828523460039124,0.00040394723954008757,0.0,0.008232470699579211
CPP,0.007975810045300095,0.00041154714134036374,0.0,0.008387357186640458
