year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,SR US 2019,,,,,,,,,,,,,,,,,,,,7552.3294,1952.4,4446.9294,#N/A Requesting Data...,50.7,87.24,2865.8,5.8,7619.2

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,,,0.0,0.0
BMO,,,0.0,0.0
TD,,,0.0,0.0
CIBC,,,0.0,0.0
Scotiabank,,,0.0,0.0
National Bank of Canada,,,0.0,0.0
Power Corp of Canada,,,0.0,0.0
Brookfield Asset Management,,,0.0,0.0
Fairfax,,,0.0,0.0
Intact Financial,,,0.0,0.0
OMERS,,,0.0,0.0
HOOPP,,,0.0,0.0
OTPP,,,0.0,0.0
OPSEU,,,0.0,0.0
IMCO,,,0.0,0.0
CPP,,,0.0,0.0
