year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,SU CN Equity 2019,33670.0,1520.0,1639.99,1356.52,,,,,24.927,42.45,20.478,,,195.62,,,,,,81206.5574,38344.0,65196.5574,SUNCOR ENERGY INC,1559.0,42.56,17970.0,1960.0,89435.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1697043.145410006,76611.39236778168,82659.40817513164,1856313.9459529193
BMO,1115121.489221454,50341.09485050816,54315.22621668364,1219777.8102886458
TD,571779.8406331191,25812.454937996466,27850.19541844705,625442.4909895626
Scotiabank,313741.43843981554,14163.557660484692,15281.686674609598,343186.68277490983
CIBC,284640.656041756,12849.830626179657,13864.248669593095,311354.73533752875
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,55.258899298876166,2.49461024455871,2.691544952648067,60.445054496082946
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,27761.657857106424,1253.273535574748,1352.2120605098082,30367.14345319098
OMERS,54251.328153716284,2449.1244072957757,2642.46827785726,59342.92083886932
CPPIB,121076.89630863852,5465.90087285805,5897.401382883446,132440.19856438003
Healthcare of Ontario Pension Plan Trust Fund,24228.186931845576,1093.7583646096011,1180.1041112946862,26502.049407749862
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
