year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,TRP CN Equity 2019,18284.0,2132.0,3136.0,,,3062.0,,50.0,12.0,,13.0,,,,,,,,,119574.08,13255.0,64872.08,TC ENERGY CORP,929.0,63.0032,50431.0,1343.0,99279.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2418565.879250365,282016.1044936435,414955.2156644276,3115537.199408436
BMO,1079184.2044836546,125837.9306475143,185156.46737394575,1390178.6025051146
TD,607725.5099574423,70863.63964281706,104267.93506543954,782857.0846656989
Scotiabank,185898.9416710548,21676.686919858283,31894.82498480086,239470.45357571397
CIBC,309776.3274431774,36121.37005627074,53148.56372726141,399046.2612267096
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,388.66698894193,45.3203905285602,66.6838954446967,500.6712749151869
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,53852.78480357035,6279.4868300816015,9239.563877094739,69371.83551074669
OMERS,112832.08437281493,13156.749282588135,19358.68785153798,145347.52150694106
CPPIB,121151.07990987803,14126.783109158823,20785.98434025855,156063.8473592954
Healthcare of Ontario Pension Plan Trust Fund,14553.450791156998,1697.0004969780528,2496.946791285249,18747.3980794203
OTPP,304.95843512339974,35.55958125591163,52.32195422129212,392.83997060060346
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
