year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2019,UGI US 2019,1389.6,31.709,,,,,,,,,,,,,,,,,,16605.8707,7320.4,10506.6707,UGI CORP,178.417,50.27,6600.3,447.1,13346.6

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.007738464288216436,0.00017658244395153642,0.0,0.007915046732167972
BMO,0.006768213493166773,0.00015444248823749657,0.0,0.00692265598140427
TD,0.035393786159111276,0.000807643613499755,0.0,0.03620142977261103
CIBC,0.00845028132460647,0.00019282525224665126,0.0,0.008643106576853122
Scotiabank,0.00041661532230185915,9.506660373394972e-06,0.0,0.0004261219826752541
National Bank of Canada,0.12627451708370377,0.002881432543326974,0.0,0.12915594962703075
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.12302333046375956,0.002807244376565452,0.0,0.125830574840325
Fairfax,0.06697084693060762,0.0015281941460295314,0.0,0.06849904107663715
Intact Financial,0.0021501318395750232,4.9063421488978425e-05,0.0,0.0021991952610640017
OMERS,0.0012760332157359798,2.9117542629369737e-05,0.0,0.0013051507583653496
HOOPP,0.0034173037135350587,7.797875896119976e-05,0.0,0.0034952824724962584
OTPP,0.019827979647254006,0.00045245063805035785,0.0,0.020280430285304366
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0017152647983913684,3.914027885160615e-05,0.0,0.0017544050772429745
CPP,0.0017475359535157032,3.987666778211675e-05,0.0,0.00178741262129782
