year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,600803 CH Equity 2020,4314.9,359.1,,,,,,,,,,,,,,,,,,83796.0001,88098.77,35084.5201,ENN NATURAL GAS CO LTD-A,2569.4634,13.59,33202.96,11630.99,109523.85

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,55318.91841667231,4603.8201588511965,0.0,59922.73857552351
BMO,86073.3783729309,7163.306258249205,0.0,93236.6846311801
TD,10795.699098076018,898.453161398665,0.0,11694.152259474684
Scotiabank,42114.91013952902,3504.939681361069,0.0,45619.849820890086
CIBC,39353.63153221525,3275.137102416858,0.0,42628.768634632106
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,9.346925626039845,0.7778815250204891,0.0,10.124807151060335
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1256.3005956578552,104.55341813268811,0.0,1360.8540137905434
OMERS,0.0,0.0,0.0,0.0
CPPIB,38968.19383600462,3243.059724792987,0.0,42211.2535607976
Healthcare of Ontario Pension Plan Trust Fund,26007.820554455866,2164.455343369511,0.0,28172.275897825377
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1888.201962323549,157.14230333736276,0.0,2045.3442656609118
