year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,DBI AU Equity 2020,1.189,81.817,,,,,,,,,,,,,,,,,,3199.0919,,1045.5809,DALRYMPLE BAY INFRASTRUCTURE,,2.09,2292.646,139.135,3561.981

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,721.2401517663532,49629.69343739925,0.0,50350.9335891656
BMO,135.74929974332932,9341.127381917555,0.0,9476.876681660884
TD,314.9815877470601,21674.389036754594,0.0,21989.370624501655
Scotiabank,35.68088609881838,2455.2590899470338,0.0,2490.9399760458523
CIBC,74.46623785878262,5124.141449026087,0.0,5198.6076868848695
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,0.2695085573961805,18.54531677080176,0.0,18.81482532819794
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,2.0014137595665726,137.72049585067975,0.0,139.7219096102463
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,8.751636530468376,602.2141682197906,0.0,610.965804750259
OMERS,0.0,0.0,0.0,0.0
CPPIB,1547.8092512975325,106507.24097006746,0.0,108055.05022136499
Healthcare of Ontario Pension Plan Trust Fund,0.39914558500446984,27.46584888840261,0.0,27.86499447340708
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
