year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,EPD US 2020,10793.4,,,,,,,,,,,,,,,,,,,73178.8325,27199.7,42751.4325,ENTERPRISE PRODUCTS PARTNERS,2185.8,19.59,30364.7,1059.9,64106.7

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.12868609039942697,,0.0,0.12868609039942697
BMO,0.06201238009042152,,0.0,0.06201238009042152
TD,0.009076503422429178,,0.0,0.009076503422429178
CIBC,0.0064323983810367046,,0.0,0.0064323983810367046
Scotiabank,0.0009240355630188532,,0.0,0.0009240355630188532
National Bank of Canada,0.2410452803002566,,0.0,0.2410452803002566
Power Corp of Canada,0.0,,0.0,0.0
Brookfield Asset Management,0.37906488729237314,,0.0,0.37906488729237314
Fairfax,3.989005982431115e-05,,0.0,3.989005982431115e-05
Intact Financial,0.0027976060310961506,,0.0,0.0027976060310961506
OMERS,0.0022873667215712597,,0.0,0.0022873667215712597
HOOPP,0.012176819464470575,,0.0,0.012176819464470575
OTPP,0.12345519071904783,,0.0,0.12345519071904783
OPSEU,0.0004211178467528544,,0.0,0.0004211178467528544
IMCO,0.0,,0.0,0.0
CPP,0.32190798587626274,,0.0,0.32190798587626274
