year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,EPM US Equity 2020,,0.006,,,,,,,,,,,,,,,,,,72.7549,29.6,92.2781,EVOLUTION PETROLEUM CORP,33.0311,2.8,0.1393,19.6625,92.1382

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,,43.529309771224156,0.0,43.529309771224156
BMO,,15.973865955194135,0.0,15.973865955194135
TD,,6.803911220538786,0.0,6.803911220538786
Scotiabank,,31.629779980298686,0.0,31.629779980298686
CIBC,,42.09605529372625,0.0,42.09605529372625
National Bank of Canada,,0.0,0.0,0.0
Sun Life Financial,,0.024512858413859844,0.0,0.024512858413859844
Power Corp of Canada,,0.0,0.0,0.0
Manulife,,0.0,0.0,0.0
Brookfield Asset Management,,0.0,0.0,0.0
Fairfax,,0.0,0.0,0.0
Intact Financial,,0.6507936335923692,0.0,0.6507936335923692
OMERS,,0.0,0.0,0.0
CPPIB,,91.24947306023856,0.0,91.24947306023856
Healthcare of Ontario Pension Plan Trust Fund,,0.009948189223661951,0.0,0.009948189223661951
OTPP,,0.0,0.0,0.0
OPSEU,,0.0,0.0,0.0
Investment Management of Ontario,,0.0,0.0,0.0
