year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,ET US 2020,17328.5,,,,,,,,,,,,,,,,,,,82285.6599,38954.0,16700.6599,ENERGY TRANSFER LP,2695.6,6.18,52331.0,367.0,95144.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,47406.52032342747,,0.0,47406.52032342747
Brookfield Asset Management,13998.344064745612,,0.0,13998.344064745612
CIBC,75016.60414188185,,0.0,75016.60414188185
Fairfax,0.0,,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,1504.5534499208625,,0.0,1504.5534499208625
Intact Financial,4119.6227172436475,,0.0,4119.6227172436475
Investment Management of Ontario,387.88055132480133,,0.0,387.88055132480133
Manulife,0.0,,0.0,0.0
National Bank of Canada,0.0,,0.0,0.0
OMERS,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
OTPP,0.0,,0.0,0.0
Power Corp of Canada,0.0,,0.0,0.0
RBC,171471.06826518275,,0.0,171471.06826518275
Scotiabank,30834.352379722437,,0.0,30834.352379722437
TD,76386.76845188615,,0.0,76386.76845188615
