year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,MGY US Equity 2020,313.429,,,,,,,,,,,,,,,,,,,1964.4922,534.506,1758.4342,MAGNOLIA OIL & GAS CORP - A,166.27,7.06,398.619,192.561,1453.42

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,167384.656940817,,0.0,167384.656940817
BMO,51808.891601403106,,0.0,51808.891601403106
TD,72058.74902114618,,0.0,72058.74902114618
Scotiabank,37103.2900002741,,0.0,37103.2900002741
CIBC,46681.72495223306,,0.0,46681.72495223306
National Bank of Canada,0.0,,0.0,0.0
Sun Life Financial,0.0,,0.0,0.0
Power Corp of Canada,0.0,,0.0,0.0
Manulife,0.0,,0.0,0.0
Brookfield Asset Management,484.2868689655831,,0.0,484.2868689655831
Fairfax,0.0,,0.0,0.0
Intact Financial,5639.08121953042,,0.0,5639.08121953042
OMERS,0.0,,0.0,0.0
CPPIB,230837.46609910112,,0.0,230837.46609910112
Healthcare of Ontario Pension Plan Trust Fund,2729.2604113364036,,0.0,2729.2604113364036
OTPP,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
Investment Management of Ontario,1002.439952544144,,0.0,1002.439952544144
