year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,OKE US Equity 2020,3800.0,2500.0,60552.398,,,130.0,,,0.158,22.21,,,,60400.0,,,,,,30911.2931,8542.242,17074.2021,ONEOK INC,431.105,38.38,14361.587,524.496,23078.754

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,62615.79860296956,41194.60434405892,997772.3367423419,1101582.7396893704
BMO,40101.38781243547,26382.49198186544,639008.9452971861,705492.825091487
TD,26367.112053804263,17346.784245923856,420155.5453103136,463869.4416100417
Scotiabank,29311.99929980916,19284.21006566392,467081.83379415434,515678.0431596274
CIBC,16294.137692091628,10719.82742900765,259644.37415110602,286658.3392722053
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,54.08159014353006,35.579993515480304,861.7811443147907,951.4427279738011
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,20632.683034717036,13574.133575471737,328778.3726172481,362985.18922743684
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,5395.47320925761,3549.653427143164,85975.96823713362,94921.0948735344
OMERS,0.0,0.0,0.0,0.0
CPPIB,292187.0299286197,192228.30916356557,4655951.726595998,5140367.0656881835
Healthcare of Ontario Pension Plan Trust Fund,8412.469242120545,5534.5192382372,134051.29824672747,147998.28672708521
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,600.9065571503338,395.33326128311444,9575.346047942117,10571.585866375566
