year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,ORI AU Equity 2020,1849.0,267.0,11081.4,9852.0,26.0,96.0,229.0,17.0,11.0,14.0,,,6.0,829.0,0.4,,,,,8429.7101,5611.3,6262.7101,ORICA LTD,395.6204,15.43,3039.7,920.5,8203.5

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,54373.98116192541,7851.732271624708,325843.94854872813,388069.6619822783
BMO,35166.87400235882,5078.1802913087095,210742.58014912743,250987.63444279495
TD,56364.48651838443,8139.16598183269,337772.3398692844,402275.99236950156
Scotiabank,7386.894692762484,1066.6851719673245,44267.03512908892,52720.61499381873
CIBC,7135.941036133862,1030.4468667645976,42763.15903557471,50929.54693847317
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,72.92418022031707,10.530425158910038,437.0087001153063,520.4633054945334
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,327.12547240530904,47.23769666426041,1960.3467195455846,2334.709888615154
Intact Financial,2382.2883003957027,344.0080996244741,14276.207292430796,17002.503692450973
OMERS,0.0,0.0,0.0,0.0
CPPIB,390796.5484463348,56431.95156039555,2341904.8541940334,2789133.3542007636
Healthcare of Ontario Pension Plan Trust Fund,8857.483120606204,1279.0416404553039,53079.749037082205,63216.27379814372
OTPP,290.22052290109997,41.90853413444764,1739.188470499377,2071.3175275349245
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
