year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,PXT CN Equity 2020,140.72,0.15,2696.0,0.0031,,11.8542,7.182,0.1934,0.741,,,,215.458,2460.5601,,,,,,1467.8147,587.52,1795.8087,PAREX RESOURCES INC,138.356,17.52,2.57,330.564,1541.081

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,314202.85499229404,334.9234525926954,6019672.545450638,6334210.323895525
BMO,135289.7372643311,144.21163011405392,2591955.8150141495,2727389.763908595
TD,92116.92817837445,98.19172275977947,1764827.1959215924,1857042.3158227266
Scotiabank,59027.27964287064,62.91992571369099,1130877.3585381338,1189967.5581067181
CIBC,45671.2469652252,48.68310861841799,874995.0775584283,920715.0076322719
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,37.221113807946246,0.03967571824326276,713.1027402863123,750.3635298125017
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,117.4619991539188,0.12520821399294926,2250.4021214509094,2367.989328818821
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,8772.193742017176,9.350689747744289,168062.5525617512,176844.0969935161
OMERS,0.0,0.0,0.0,0.0
CPPIB,35044.73651341593,37.355816351708285,671406.4971100765,706488.5894398441
Healthcare of Ontario Pension Plan Trust Fund,19734.791261452294,21.036232868233686,378090.07543765666,397845.9029319772
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,1783.008891760019,1.9005921955941076,34159.87316310474,35944.782647060354
