year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2020,SU CN Equity 2020,32020.0,1410.0,122900.0,,,,,,,,,,,122900.0,,,,,,52375.9739,25052.0,32561.9739,SUNCOR ENERGY INC,1526.0,21.35,21699.0,1885.0,84616.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1602857.8586877375,70581.81076669924,6152130.881721516,7825570.551175953
BMO,1391325.2814197482,61266.978351088226,5340221.020814711,6792813.280585548
TD,543633.4036248337,23938.885044066694,2086587.9233445367,2654160.212013437
Scotiabank,620733.4009318152,27333.981739970626,2382515.1459875107,3030582.5286592967
CIBC,419844.6648837833,18487.850639791835,1611458.754347813,2049791.2698713883
National Bank of Canada,0.0,0.0,0.0,0.0
Sun Life Financial,74.73502704330834,3.2909552820444956,286.8499320306869,364.87591435603974
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,1785.7738040874726,78.63651042358951,6854.203639049044,8718.613953560107
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,104112.77616066144,4584.603822190275,399608.3757072233,508305.75569007505
OMERS,15102.375596462229,665.0327792320969,57966.33231746433,73733.74069315866
CPPIB,1565354.6420906628,68930.3574437175,6008185.056619064,7642470.056153445
Healthcare of Ontario Pension Plan Trust Fund,208376.0057310285,9175.832856987827,799794.225619719,1017346.0642077354
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,22456.892270895165,988.8887602111861,86194.63023401047,109640.41126511683
