year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,9536 JP Equity 2021,22.242,16.266,3016.61,31.3,,433.4,64.4,,,,,,,2487.5,,,,,,367177.08,191993.0,117366.08,SAIBU GAS HOLDINGS CO LTD,37.024,3170.0,264329.0,20596.0,389929.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,29.180879194397566,21.340535067712917,3957.6944599325457,4008.215874194656
BMO,3.493420143196399,2.5548049657959098,473.79962251444374,479.84784762343605
TD,2.013350092292424,1.4724014297827788,273.0632087226565,276.5489602447317
Scotiabank,3.8227878446651706,2.7956778653593948,518.4705427667005,525.0890084767251
CIBC,1.0599272464412206,0.775145067467534,143.75400286011086,145.58907517401963
National Bank of Canada,0.9500116728785695,0.6947617062783387,128.84656111885138,130.49133449800829
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.29032872189307163,0.21232294714111602,39.37620818553368,39.878859854567864
Intact Financial,0.16619992761111219,0.12154518579814541,22.541080012214774,22.828825125624032
OMERS,0.0,0.0,0.0,0.0
CPPIB,0.1591880720562534,0.11641728172228295,21.59008803906546,21.865693392843998
Healthcare of Ontario Pension Plan Trust Fund,1.7637659364613694,1.289875763082485,239.21303497569312,242.26667667523697
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
