year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,AR US Equity 2021,270.088,4.478,,,,,,,,,,,,,,,,,,11348.613,4619.432,5493.775,ANTERO RESOURCES CORP,308.146,17.5,5545.906,0.0,13896.528

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,13408.29950116268,222.30667473640617,0.0,13630.606175899087
BMO,5254.788550313765,87.12324549148809,0.0,5341.911795805253
TD,9684.678637912912,160.56985479019437,0.0,9845.248492703106
Scotiabank,2071.562460421113,34.3460527597144,0.0,2105.9085131808274
CIBC,1298.9237906539677,21.53587251025024,0.0,1320.459663164218
National Bank of Canada,847.4149116044979,14.049953993383419,0.0,861.4648655978813
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,4269.472679896792,70.78692374551196,0.0,4340.259603642304
Healthcare of Ontario Pension Plan Trust Fund,1171.4944554518524,19.423121988068313,0.0,1190.9175774399207
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
