year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,COP US 2021,17720.0,1000.0,224600.0,,,,4400.0,,,,,9200.0,13400.0,197600.0,,,,,,109122.8997,45828.0,93995.8997,CONOCOPHILLIPS,1324.194,72.18,20601.0,5474.0,90661.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.1159798199154851,0.006545136564079295,1.4700376722922095,1.5925626287717738
BMO,0.21481422641247402,0.012122699007475961,2.722758197079101,2.9496951224990506
TD,0.022020134139957598,0.0012426712268599096,0.2791039575527357,0.3023667629195532
CIBC,0.008538396276449492,0.00048185080566870723,0.10822369095319165,0.11724393803530984
Scotiabank,0.010692412788299532,0.0006034092995654363,0.13552572868239698,0.14682155077026196
National Bank of Canada,0.18235278660777582,0.010290789311951232,2.3113112794642467,2.5039548553839737
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0013179353609612825,7.437558470436131e-05,0.01670475632459955,0.018097067270265194
Fairfax,0.00013592209916365105,7.670547356865185e-06,0.0017228049363519204,0.0018663975828724366
Intact Financial,0.001997357337918007,0.00011271768272674983,0.025316391540428012,0.027426466561072768
OMERS,6.221122430513849e-06,3.5107914393419016e-07,7.885237572761911e-05,8.542457730206715e-05
HOOPP,0.017342981185380368,0.000978723543193023,0.21982130780115294,0.23814301252972633
OTPP,0.02017887041938703,0.0011387624390173268,0.2557660438032916,0.277083676661696
OPSEU,0.0003272687436173346,1.8468890723325884e-05,0.004148112856458993,0.004493850490799653
IMCO,0.0028347581208374773,0.00015997506325267932,0.03593039920655178,0.03892513239064194
CPP,0.04550260908880901,0.0025678673300682285,0.5767430023333241,0.6248134787522013
