year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,CVE CN Equity 2021,17600.0,1800.0,217800.0,7400.0,100.0,3400.0,2100.0,,0.0,0.0,,500.0,8500.0,195800.0,,,0.0,0.0,,44117.7826,46357.0,31038.7826,CENOVUS ENERGY INC,2016.2,15.51,15421.0,2873.0,54104.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2299288.6325380555,235154.5192368466,28453696.827658437,30988139.97943334
BMO,1950951.4654740358,199529.12715075366,24143024.38524119,26293504.977865983
TD,915550.031913945,93635.79871847165,11329931.64493507,12339117.475567486
Scotiabank,192024.43848425936,19638.863026799252,2376302.426242709,2587965.7277537677
CIBC,454912.0686195985,46525.0979270044,5629536.849167531,6130974.015714134
National Bank of Canada,174755.46221970703,17872.71772701549,2162598.8449688745,2355227.024915597
Sun Life Financial,1094.9398511525383,111.98248477696416,13549.880658012664,14756.802993942167
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,496.7205124855638,50.80096150420539,6146.916342008853,6694.437815998622
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,37328.31970027072,3817.6690602549597,461937.9562908501,503083.9450513758
OMERS,0.0,0.0,0.0,0.0
CPPIB,137151.56470086554,14026.86457167943,1697250.6131732112,1848429.0424457563
Healthcare of Ontario Pension Plan Trust Fund,63754.87162309001,6520.384597816023,788966.5363357388,859241.7925566449
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,8526.468431787012,872.0251805236717,105515.04684336427,114913.54045567496
