year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,DANA UH Equity 2021,364.775,4.322,,,,,,,,,,,,,,,,,,1913.8116,452.0,2018.8116,DANA GAS,6995.4,1.06,199.0,304.0,2627.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,159686.4397722898,1892.0287648436338,0.0,161578.46853713342
BMO,29535.800084069262,349.9519648093958,0.0,29885.752048878658
TD,50976.41706635726,603.9889645967955,0.0,51580.40603095405
Scotiabank,8932.671912029831,105.83786718879563,0.0,9038.509779218626
CIBC,15443.58276175944,182.98174133732934,0.0,15626.56450309677
National Bank of Canada,2595.9442797931215,30.75778542187889,0.0,2626.7020652150004
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,38464.31617244521,455.740592138464,0.0,38920.05676458367
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,1453.4541509470223,17.22110572378324,0.0,1470.6752566708055
OMERS,0.0,0.0,0.0,0.0
CPPIB,40447.005431314145,479.23228695535533,0.0,40926.2377182695
Healthcare of Ontario Pension Plan Trust Fund,4878.7562816659065,57.805454456473306,0.0,4936.561736122379
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
