year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,GTE CA 2021,197.447,97.487,,,,,,,,,,,,,,,,,,907.7157,473.722,279.4337,GRAN TIERRA ENERGY INC,36.7023,,654.391,26.109,1189.111

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,46426.38234139619,22922.448734676596,0.0,69348.83107607279
Brookfield Asset Management,30.28191886662203,14.95132073189454,0.0,45.23323959851657
CIBC,44777.186474519716,22108.17879148077,0.0,66885.36526600049
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,3360.687440609346,1659.2976166904705,0.0,5019.985057299817
Intact Financial,3560.479847863733,1757.942632345347,0.0,5318.42248020908
Investment Management of Ontario,175.94264041881848,86.86948997203987,0.0,262.81213039085833
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,9698.6656434317,4788.5955095859945,0.0,14487.261153017695
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,134379.33314990997,66348.12405752062,0.0,200727.4572074306
Scotiabank,32261.451633765,15928.690410190322,0.0,48190.14204395532
TD,55515.70633288325,27410.18938385384,0.0,82925.8957167371
