year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,MCM AU Equity 2021,9.978,,,,,,,,,,,,,,,,,,,31.7268,,11.5768,MC MINING LTD,200.3689,0.0762,24.097,3.226,154.777

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,4831672.052207864,,0.0,4831672.052207864
BMO,2884481.314525603,,0.0,2884481.314525603
TD,1308341.2030958468,,0.0,1308341.2030958468
Scotiabank,1417495.1862345382,,0.0,1417495.1862345382
CIBC,744521.4570520351,,0.0,744521.4570520351
National Bank of Canada,259741.90259830005,,0.0,259741.90259830005
Sun Life Financial,0.0,,0.0,0.0
Power Corp of Canada,0.0,,0.0,0.0
Manulife,0.0,,0.0,0.0
Brookfield Asset Management,750.7115956050031,,0.0,750.7115956050031
Fairfax,0.0,,0.0,0.0
Intact Financial,129555.92823578189,,0.0,129555.92823578189
OMERS,0.0,,0.0,0.0
CPPIB,283766.3974500725,,0.0,283766.3974500725
Healthcare of Ontario Pension Plan Trust Fund,237499.80910096053,,0.0,237499.80910096053
OTPP,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
Investment Management of Ontario,20482.96334047405,,0.0,20482.96334047405
