year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,MTDR US 2021,774.427,,,,,,,,,,,,,,,,,,,6086.0656,1480.437,4351.0306,MATADOR RESOURCES CO,116.999,36.92,1562.992,48.135,4262.153

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,22473.185753849903,,0.0,22473.185753849903
Brookfield Asset Management,469.2757892052058,,0.0,469.2757892052058
CIBC,20052.128790990344,,0.0,20052.128790990344
Fairfax,0.0,,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,1269.9685839315864,,0.0,1269.9685839315864
Intact Financial,1137.1952455772202,,0.0,1137.1952455772202
Investment Management of Ontario,20.50944509790393,,0.0,20.50944509790393
Manulife,0.0,,0.0,0.0
National Bank of Canada,2724.500993288119,,0.0,2724.500993288119
OMERS,0.0,,0.0,0.0
OPSEU,0.0,,0.0,0.0
OTPP,0.0,,0.0,0.0
Power Corp of Canada,0.0,,0.0,0.0
RBC,57738.370318464324,,0.0,57738.370318464324
Scotiabank,14909.739181906696,,0.0,14909.739181906696
TD,22679.054448395513,,0.0,22679.054448395513
