year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,NI US Equity 2021,8270.92,72.123,14725.3,,,5583.5498,,,,,,,,9141.7695,,,,,,22803.7165,4899.6,11190.4165,NISOURCE INC,393.6,27.61,9836.1,84.2,24156.9

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,56400.54901263058,491.816726124537,100413.9917816017,157306.3575203568
BMO,48391.58088173036,421.9779647165054,86155.0444104471,134968.60325689396
TD,59365.10892154907,517.6678955604557,105692.01299844378,165574.78981555332
Scotiabank,60850.714859451386,530.6224830863088,108336.94509663692,169718.28243917463
CIBC,4900.28227278225,42.730803630052556,8724.328264189271,13667.341340601573
National Bank of Canada,41582.923220060664,362.6059944238894,74033.09690370326,115978.62611818782
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,127353.38424981768,1110.5304043866463,226736.47514595187,355200.3898001562
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,304.5122618983842,2.6553681893788315,542.1452857987904,849.3129158865535
Healthcare of Ontario Pension Plan Trust Fund,19662.475007967758,171.45815519913847,35006.531645886454,54840.46480905335
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
