year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,NJR US 2021,51.115,0.195,,,,,,,,,,,,,,,,,,6012.0313,2156.613,3331.6533,NEW JERSEY RESOURCES CORP,96.227,34.81,2757.967,4.749,5722.278

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,8.588965386944675,0.03276627703128654,0.0,8.621731663975963
Brookfield Asset Management,5.996082044311153,0.022874616035227915,0.0,6.018956660346381
CIBC,1.264230653891868,0.004822947813927698,0.0,1.2690536017057956
Fairfax,0.1687645590253944,0.0006438244939832125,0.0,0.1694083835193776
Healthcare of Ontario Pension Plan Trust Fund,0.1342905622862979,0.0005123087087122782,0.0,0.13480287099501018
Intact Financial,0.09665606562363498,0.00036873584655402173,0.0,0.09702480147018899
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,1.7672871198812914,0.006742071571492748,0.0,1.7740291914527841
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,23.551815296927806,0.0898484590218316,0.0,23.641663755949637
Scotiabank,4.055489064543421,0.015471395237913861,0.0,4.070960459781335
TD,7.156737285659346,0.02730243119834828,0.0,7.1840397168576935
