year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,OXY US 2021,18500.0,4840.0,211800.0,,,,,,,,,1600.0,19700.0,190500.0,,,,,,65287.8256,25956.0,27078.8256,OCCIDENTAL PETROLEUM CORP,935.0,28.99,30473.0,2764.0,75036.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,3604.459807149096,943.0046198163041,41266.193900225866,45813.65832719127
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,525.6291100009892,137.51594012998854,6017.7429999032165,6680.888050034194
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,782.8285211896339,204.80486716528802,8962.32869124132,9949.962079596242
Intact Financial,46.52528210086039,12.1720197496305,532.6516080520124,591.3489099025034
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,41.26334784622269,10.79538397706583,472.40957155837657,524.4683033816651
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,2459.0818296048997,643.3489759614981,28153.163865422583,31255.59467098898
Scotiabank,186.56569803381726,48.80962045857705,2135.925126679054,2371.3004451714482
TD,1398.0341710240195,365.75596690574355,16005.602022858777,17769.39216078854
