year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,PKP PW Equity 2021,100.603,401.717,,,,,,,,,,,,,,,,,,2938.7126,3085.3,627.9126,PKP CARGO SA,44.7869,14.02,2565.3,254.5,7613.4

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,32870.03680767036,131253.0697520642,0.0,164123.10655973456
BMO,26609.512293589905,106254.22154452706,0.0,132863.73383811695
TD,15098.9591863581,60291.527961057,0.0,75390.4871474151
Scotiabank,35942.380200683976,143521.21852308745,0.0,179463.59872377143
CIBC,8658.509681124411,34574.22277240495,0.0,43232.73245352936
National Bank of Canada,2812.1491048276457,11229.169129589052,0.0,14041.318234416698
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,21686.969614879523,86598.05744143372,0.0,108285.02705631324
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,4018.111178211744,16044.686223847077,0.0,20062.797402058823
OMERS,0.0,0.0,0.0,0.0
CPPIB,4777.705464104399,19077.815829782678,0.0,23855.521293887075
Healthcare of Ontario Pension Plan Trust Fund,16217.762581926208,64759.01246606614,0.0,80976.77504799234
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
