year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,SM US 2021,578.309,104.595,1.699,,,,,,0.062,0.076,1.561,,,,,,,,,5366.9021,2622.894,3592.4991,SM ENERGY CO,119.043,29.48,2107.119,332.716,5233.977

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.04473754471281565,0.008091389705567357,0.00013143334872373384,0.05296036776710674
BMO,0.03976899585917781,0.007192760482528722,0.00011683636942316838,0.0470785927111297
TD,0.00951260189237069,0.0017204826397868827,2.7946842631080965e-05,0.011261031374788654
CIBC,0.001022363640675651,0.00018490828431940318,3.0035773704160425e-06,0.0012102755023654702
Scotiabank,0.00020991374388931649,3.796573811250224e-05,6.167005024441063e-07,0.00024849618250426286
National Bank of Canada,0.15571156836977354,0.02816254198644058,0.000457461244179574,0.1843315716003937
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0011253887910507756,0.00020354177541756377,3.3062524636401435e-06,0.0013322368189319796
Fairfax,0.00011606427096947637,2.099179231527156e-05,3.409824097102766e-07,0.0001373970456944582
Intact Financial,0.001454103411466408,0.0002629942579526325,4.271975182958292e-06,0.0017213696446019989
OMERS,5.312234316217365e-06,9.607893847489065e-07,1.5606684494367723e-08,6.288630385460639e-06
HOOPP,0.005408015510706739,0.0009781127085042275,1.5888077745099503e-05,0.006402016296956066
OTPP,0.01723079542344214,0.0031164222713375212,5.062193641189777e-05,0.02039783963119156
OPSEU,0.0002794557203925256,5.054334460376065e-05,8.210061903703746e-07,0.0003308200711866566
IMCO,4.1210060150049865e-05,7.453396439264244e-06,1.2107003728964052e-07,4.878452662660375e-05
CPP,0.016809841098081278,0.0030402869913036304,4.938522489817743e-05,0.019899513314283086
