year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,TPL US 2021,16.159,6.596,,,,,,,,,,,,,,,,,,9246.0172,450.958,9672.1172,TEXAS PACIFIC LAND CORP,23.2561,416.29,2.142,428.242,764.064

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,81.836237122106,33.40502630468539,0.0,115.24126342679139
Brookfield Asset Management,0.0,0.0,0.0,0.0
CIBC,88.60662404866227,36.16865475740927,0.0,124.77527880607154
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,4.672757956034693,1.907389781422417,0.0,6.58014773745711
Intact Financial,8.125198742215407,3.316653933018926,0.0,11.441852675234333
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,17.3416163006172,7.078736377181204,0.0,24.420352677798405
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,277.33192751210663,113.20511132309274,0.0,390.5370388351994
Scotiabank,71.50901371066925,29.18952004675874,0.0,100.698533757428
TD,124.38784839745324,50.774320689993296,0.0,175.16216908744653
