year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2021,WES US 2021,3940.0,950.0,,,,,,,,,,,,,,,,,,15862.9106,3081.8,8974.6746,WESTERN MIDSTREAM PARTNERS L,411.309,22.27,6952.548,201.999,11273.079

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,532.0610866493142,128.28884068955549,0.0,660.3499273388697
Brookfield Asset Management,1131.2859142547632,272.77198440152915,0.0,1404.0578986562923
CIBC,1046.9554428190634,252.43849509596706,0.0,1299.3939379150304
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,355.31659498830186,85.67278305555502,0.0,440.98937804385685
Intact Financial,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,38.84563792429867,9.366334017280138,0.0,48.21197194157881
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,1525.5855582775114,367.8442335948314,0.0,1893.4297918723428
Scotiabank,359.3190777078425,86.6378486859011,0.0,445.95692639374363
TD,697.330214067037,168.13799577758508,0.0,865.468209844622
