year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,6 HK Equity 2022,6942.3,811.271,,,,,,,,,,,,,,,,,,88552.7852,1265.0,91207.7852,POWER ASSETS HOLDINGS LTD,2131.1052,42.75,3239.0,5894.0,94527.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,10165.795621139587,1187.9658296756888,0.0,11353.761450815276
BMO,6716.33028207772,784.8643798555916,0.0,7501.194661933311
TD,6739.84988290232,787.6128594777017,0.0,7527.462742380022
Scotiabank,16783.328356711376,1961.284816167206,0.0,18744.61317287858
CIBC,2358.201529928171,275.5773322078212,0.0,2633.7788621359923
National Bank of Canada,4723.938465945777,552.0352452654447,0.0,5275.973711211222
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0,0.0,0.0,0.0
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,2271.8868783582743,265.4906788373587,0.0,2537.377557195633
Healthcare of Ontario Pension Plan Trust Fund,3309.8700383747505,386.78846720860844,0.0,3696.658505583359
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,11.188936314616265,1.3075291406155094,0.0,12.496465455231775
