year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,ATO US 2022,622.592,,22402.9,,,,,,,,,,,,,,,,,22720.6305,4201.662,14350.3185,ATMOS ENERGY CORP,137.83,101.85,8421.866,51.554,22192.989

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.12543731238076702,,0.0,0.12543731238076702
BMO,0.044352946909157455,,0.0,0.044352946909157455
TD,0.012742505049765969,,0.0,0.012742505049765969
CIBC,0.018498685039220558,,0.0,0.018498685039220558
Scotiabank,0.01132558652436878,,0.0,0.01132558652436878
National Bank of Canada,0.015155028043175488,,0.0,0.015155028043175488
Power Corp of Canada,0.0,,0.0,0.0
Brookfield Asset Management,0.00017488589901332153,,0.0,0.00017488589901332153
Fairfax,0.0141625039271428,,0.0,0.0141625039271428
Intact Financial,0.0018824421414758146,,0.0,0.0018824421414758146
OMERS,0.005337816128331925,,0.0,0.005337816128331925
HOOPP,0.0008549061374491444,,0.0,0.0008549061374491444
OTPP,0.0043796965069451245,,0.0,0.0043796965069451245
OPSEU,0.0,,0.0,0.0
IMCO,5.197551650160239e-05,,0.0,5.197551650160239e-05
CPP,0.003426956655212914,,0.0,0.003426956655212914
