year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,BHEL IN Equity 2022,126.295,198.339,,,,,,,,,,,,,,,,,,148602.2266,201533.8,171839.8266,BHARAT HEAVY ELECTRICALS,3482.1,49.35,48299.3,71536.9,562437.6

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,915.4375605905087,1437.6417936573966,0.0,2353.0793542479055
BMO,72.66894044340243,114.12237205434889,0.0,186.79131249775133
TD,141.321337174813,221.9369942904726,0.0,363.2583314652856
Scotiabank,150.4267278514584,236.2364842260612,0.0,386.6632120775196
CIBC,11.60571669827325,18.226107480255102,0.0,29.83182417852835
National Bank of Canada,25.235506842626204,39.63090535381162,0.0,64.86641219643782
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,4.840431269383043,7.6016176217440385,0.0,12.442048891127081
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,60.10557389028464,94.39233081139527,0.0,154.49790470167991
Healthcare of Ontario Pension Plan Trust Fund,35.269884024661835,55.38931491798886,0.0,90.6591989426507
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,0.0,0.0,0.0,0.0
