year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,CNX US 2022,580.013,391.944,31068.9,,,,,,,,,,,31068.9004,,,,,,5243.7712,2112.0,2876.9652,CNX RESOURCES CORP,189.5077,16.84,2388.127,21.321,8515.773

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.0737861264001386,0.04986100229783801,3.9524179837826328,4.0760651124806095
BMO,0.09295319728997765,0.0628131575647839,4.979118792964753,5.1348851478195146
TD,0.019417465349250665,0.013121359415817753,1.0401134060035206,1.072652230768589
CIBC,0.00788137729611745,0.0053258436327279874,0.42217282410548446,0.4353800450343299
Scotiabank,0.007424336845645543,0.0050169983787082305,0.39769105518912773,0.4101323904134815
National Bank of Canada,0.04844165081558859,0.03273446351592991,2.594819123711194,2.6759952380427126
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0004552259978674751,0.00030761913699894596,0.024384576185766862,0.025147421320633283
Fairfax,0.06581140559781537,0.04447208175615055,3.525245133647915,3.635528621001881
Intact Financial,0.005448801171109056,0.00368202941349447,0.2918697699613467,0.30100060054595024
OMERS,0.0025968848886319517,0.0017548459272291512,0.13910439585866385,0.14345612667452495
HOOPP,0.03755957212343062,0.02538089480123013,2.011911121594658,2.074851588519319
OTPP,0.020351908440533105,0.013752809681535253,1.0901676622572982,1.1242723803793666
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.00312489059652164,0.002111645980285059,0.16738748046031282,0.17262401703711952
CPP,0.012145340916532464,0.008207218631633085,0.6505757409916533,0.6709283005398188
