year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,CQP US 2022,10913.9,239.445,,,,,,,,,,,,,,,,,,42927.08,17206.0,27525.08,CHENIERE ENERGY PARTNERS LP,484.0,56.87,16306.0,904.0,19633.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.1451185641894592,0.0031838219703630285,0.0,0.14830238615982222
BMO,0.18281532295637287,0.00401086825106412,0.0,0.186826191207437
TD,0.03818922105221856,0.0008378506340399373,0.0,0.0390270716862585
CIBC,0.015500666762821398,0.0003400761554553157,0.0,0.015840742918276713
Scotiabank,0.014601784314523336,0.00032035516590687475,0.0,0.01492213948043021
National Bank of Canada,0.09527241984764441,0.0020902248115173506,0.0,0.09736264465916177
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,2.291476180450702,0.05027373478115232,0.0,2.341749915231854
Fairfax,0.12943431446520773,0.0028397181050881593,0.0,0.13227403257029588
Intact Financial,0.010716407556308646,0.00023511212374314623,0.0,0.010951519680051792
OMERS,0.0051074127995268314,0.00011205384489345716,0.0,0.005219466644420289
HOOPP,0.0738701358106861,0.0016206703991414376,0.0,0.07549080620982754
OTPP,0.04002703320389986,0.0008781712280218622,0.0,0.04090520443192172
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.006145865879408888,0.0001348369378036322,0.0,0.00628070281721252
CPP,0.023886799882143844,0.0005240633318776911,0.0,0.024410863214021535
