year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,CTRA US 2022,1546.92,168.643,,,,,,,,,,,,,,,,,,20812.7701,9051.0,18875.7701,COTERRA ENERGY INC,796.0,24.57,2599.0,673.0,20154.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,6042.164209933878,658.7080772476139,0.0,6700.872287181492
Brookfield Asset Management,44.65913107089602,4.868674424785456,0.0,49.52780549568147
CIBC,5022.944918552489,547.5942517385821,0.0,5570.539170291071
Fairfax,0.0,0.0,0.0,0.0
Healthcare of Ontario Pension Plan Trust Fund,448.3682907305594,48.88046806148588,0.0,497.2487587920453
Intact Financial,217.08872306301296,23.666701266720768,0.0,240.75542432973373
Investment Management of Ontario,28.085921976767455,3.0618869365759016,0.0,31.147808913343358
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,2260.26384308209,246.4107227839144,0.0,2506.6745658660043
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,2.7341054042610957,0.298068250259098,0.0,3.032173654520194
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,17179.508317970034,1872.8853601139167,0.0,19052.39367808395
Scotiabank,3732.898727023593,406.95526596167855,0.0,4139.853992985271
TD,6673.565130759884,727.5425001595034,0.0,7401.107630919387
