year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,CVI US 2022,2968.0,646.0,,,,,,,,,,,,,,,,,,4535.629,10896.0,3150.629,CVR ENERGY INC,100.5,31.34,1635.0,510.0,4119.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,2.661975507747818,0.5793922432631706,0.0,3.241367751010989
BMO,1.0628594099781346,0.23133665055454009,0.0,1.2941960605326746
TD,0.24595380287555277,0.05353307165013716,0.0,0.29948687452568995
CIBC,0.1452465879035583,0.0316136441326478,0.0,0.1768602320362061
Scotiabank,0.2595341666695761,0.05648890554870154,0.0,0.3160230722182777
National Bank of Canada,0.22635101498780083,0.04926642711661703,0.0,0.27561744210441785
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.0021271130304456667,0.00046297675797436007,0.0,0.0025900897884200266
Fairfax,0.3075138481871398,0.06693192248278043,0.0,0.37444577066992024
Intact Financial,0.02546035601145041,0.005541573444540757,0.0,0.031001929455991166
OMERS,0.01213434142833066,0.0026410999200477112,0.0,0.014775441348378372
HOOPP,0.17550283959171326,0.03819906818606697,0.0,0.21370190777778023
OTPP,0.4321176425405847,0.09405255966348307,0.0,0.5261702022040677
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.014601528774095585,0.0031780955485396726,0.0,0.01777962432263526
CPP,0.05675096115728002,0.012352129685850031,0.0,0.06910309084313004
