year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,DVN US 2022,4589.5,390.0,90000.0,,,,,,,,,,,90000.0,,,,,,45559.03,19169.0,40166.03,DEVON ENERGY CORP,651.0,61.51,6718.0,1454.0,23721.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,1200.518767388761,102.01597543994265,23542.148178448304,24844.682921277006
Brookfield Asset Management,7.829887282860666,0.665357019351925,153.54392754275193,162.03917184496453
CIBC,822.0187596334514,69.85234039809261,16119.770861098295,17011.64196112984
Fairfax,0.6855793315894053,0.05825818483927837,13.44419650137193,14.188034017800614
Healthcare of Ontario Pension Plan Trust Fund,42.06611941732852,3.574634834460862,824.9157310294296,870.556485281219
Intact Financial,12.957449367039759,1.1010796934623612,254.0953138759295,268.1538429364316
Investment Management of Ontario,4.934571502336675,0.4193229950781792,96.76684501804135,102.12073951545621
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,78.03503904916667,6.631150502053601,1530.265500473908,1614.9316900251283
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,2697.8052884116255,229.250258738541,52903.905862740234,55830.9614098904
Scotiabank,228.75497030699825,19.43881434137255,4485.880232624434,4734.074017272805
TD,1089.0113458437393,92.54045645038855,21355.489950089664,22537.041752383793
