year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,EOG US 2022,5100.0,400.0,110000.0,,,,,,,,,,,110000.0,,,,,,76104.4476,25702.0,76118.4476,EOG RESOURCES INC,583.0,129.52,5958.0,5972.0,41371.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
BMO,146.00950558534512,11.451725928262363,3149.2246302721496,3306.685861785757
Brookfield Asset Management,4.591232625190847,0.36009667648555665,99.02658603352808,103.97791533520449
CIBC,172.5252223877461,13.531389991195775,3721.1322475788384,3907.18885995778
Fairfax,0.1340016818735016,0.01050993583321581,2.8902323541343478,3.034743971841065
Healthcare of Ontario Pension Plan Trust Fund,20.3825938247327,1.5986348097829572,439.62457269031324,461.6058013248289
Intact Financial,3.3433419627438647,0.26222289903873447,72.11129723565197,75.71686209743457
Investment Management of Ontario,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
National Bank of Canada,36.68416642800793,2.877189523765327,791.227119035465,830.7884749872383
OMERS,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
OTPP,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
RBC,653.9785921750721,51.292438601966445,14105.420615540772,14810.691646317811
Scotiabank,43.90411004651124,3.443459611491078,946.9513931600465,994.2989628180487
TD,118.56676514774324,9.299354129234764,2557.32238553956,2685.188504816538
