year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,ERF CN Equity 2022,838.199,124.254,0.067,,,,,,0.067,,,,,,,,,,,4077.6277,2155.688,3833.1857,ENERPLUS CORP,233.946,23.9,282.442,38.0,1937.981

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,214741.07851414557,31833.058700495516,17.16495994441386,246591.3021745855
BMO,159804.20202339793,23689.256749549077,12.773674909618911,183506.23244785663
TD,48648.611186251685,7211.634151718766,3.8886433287069817,55864.13398129916
Scotiabank,38824.90499977603,5755.375210233096,3.1034022171166926,44583.383612226244
CIBC,91420.0548449818,13552.04133470497,7.307505347314637,104979.40368503409
National Bank of Canada,61350.43914960864,9094.54373734098,4.9039421700858385,70449.8868291197
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,4141.5914339866185,613.9464519029171,0.331051010651532,4755.868936900187
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,938.7461471016132,139.15903474230325,0.07503706381874482,1077.9802189077352
OMERS,0.0,0.0,0.0,0.0
CPPIB,9282.06299840887,1375.9661557748168,0.7419457919818495,10658.77109997567
Healthcare of Ontario Pension Plan Trust Fund,40854.372270041604,6056.221937799674,3.265624203909558,46913.859832045186
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,3759.795307073174,557.3492763473473,0.30053279182378256,4317.445116212345
