year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,FTS CN Equity 2022,8748.0,179.0,107770.0,,,90488.0,,,,,,,,17282.0,,,,,,58395.596,11043.0,26125.596,FORTIS INC,478.6,54.18,29044.0,209.0,64252.0

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,1937657.3842755589,39647.996317481135,23870751.74935722,25848057.12995026
BMO,961423.6162880266,19672.476830767802,11844149.877384616,12825245.97050341
TD,453688.5550859778,9283.293479697075,5589165.018474602,6052136.8670402765
Scotiabank,293748.96205238724,6010.638341035358,3618807.229125031,3918566.829518453
CIBC,260167.78855494817,5323.506418762658,3205107.747206992,3470599.042180703
National Bank of Canada,300870.09015985706,6156.349581460267,3706535.164212139,4013561.603953456
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,2316.45103904998,47.39880383972867,28537.257484958427,30901.107327848134
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,19962.062032958023,408.460117043837,245920.37326153248,266290.89541153435
OMERS,32648.632857983415,668.0504437104516,402211.1526182982,435527.83591999207
CPPIB,47819.746427985796,978.4790364208342,589109.9762853257,637908.2017497324
Healthcare of Ontario Pension Plan Trust Fund,78248.36332920403,1601.103913571962,963971.8925455327,1043821.3597883086
OTPP,1314.5976842021137,26.899060982187738,16195.03800028141,17536.534745465713
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,5190.082553523373,106.19853418846408,63938.637036261294,69234.91812397313
