year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,GLNG US 2022,694.093,0.051,,,,,,,,,,,,,,,,,,3154.1127,267.74,2443.6767,GOLAR LNG LTD,107.86,22.79,1189.324,878.838,4279.56

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,0.02228804801265241,1.637663034557722e-06,0.0,0.022289685675686968
BMO,0.012368930747262925,9.088342168994777e-07,0.0,0.012369839581479825
TD,0.0036058414089719807,2.649470774918793e-07,0.0,0.0036061063560494724
CIBC,0.0013454801696967523,9.88620957919679e-08,0.0,0.0013455790317925443
Scotiabank,5.765937818206476e-05,4.2366488169241045e-09,0.0,5.766361483088168e-05
National Bank of Canada,0.06782390285016017,4.983509479793296e-06,0.0,0.06782888635963996
Power Corp of Canada,0.0,0.0,0.0,0.0
Brookfield Asset Management,0.08153859780346558,5.991226662675958e-06,0.0,0.08154458903012825
Fairfax,0.09271968855290881,6.8127817399085565e-06,0.0,0.09272650133464871
Intact Financial,0.007676650315894897,5.640586580049643e-07,0.0,0.0076772143745529025
OMERS,0.0036586721692767293,2.6882893305812504e-07,0.0,0.0036589409982097872
HOOPP,0.005452645728872399,4.006450607807489e-07,0.0,0.00545304637393318
OTPP,0.028673185064538198,2.1068249331018295e-06,0.0,0.0286752918894713
OPSEU,0.0,0.0,0.0,0.0
IMCO,0.0002740950736241009,2.0139734523801775e-08,0.0,0.0002741152133586247
CPP,0.017111201575478456,1.257282929448073e-06,0.0,0.017112458858407904
