year,ticker,ghg_scope_1,ghg_scope_2_location_based,ghg_scope_3,scope_3_purch_goods_srvcs,scope_3_capital_goods,scope_3_fuel_enrg_relatd_act,scope_3_upstream_trans_dist,scope_3_waste_genrtd_in_op,scope_3_business_trvl_emissions,scope_3_employee_commuting,scope_3_upstream_leased_assets,scope_3_dwnstrm_trans_dist,scope_3_prcss_of_sold_prods,scope_3_use_sold_products,scope_3_eol_trtmnt_prods,scope_3_dwnstrm_lease_assts,scope_3_franchises,scope_3_investments,scope_3_emissions_other,enterprise_value,is_comp_sales,historical_market_cap,name,is_avg_num_sh_for_eps,px_last,short_and_long_term_debt,cash_and_marketable_securities,bs_tot_asset
2022,GPRK US Equity 2022,269.879,22.401,5762.76,24.659,,19.814,4.666,1.549,2.168,,,9.493,432.889,5267.52,,,,,,1291.1099,1049.6,890.2599,GEOPARK LTD,59.33,15.45,529.693,128.843,973.975

Financial Institution,Financed Scope 1,Financed Scope 2,Financed Scope 3,Total Financed Emissions
RBC,46287.106305697926,3842.008708917475,988374.0200608835,1038503.1350754988
BMO,31562.68393420843,2619.8247466835246,673961.6989218543,708144.2076027462
TD,27231.02636881657,2260.2804282210172,581467.3059226862,610958.6127197238
Scotiabank,21256.315825300007,1764.3563626756636,453888.6096093961,476909.28179737175
CIBC,9537.892223383305,791.6819155844265,203663.73342660945,213993.30756557718
National Bank of Canada,14313.052834346467,1188.0387008333184,305628.2990731134,321129.3906082932
Sun Life Financial,0.0,0.0,0.0,0.0
Power Corp of Canada,0.0,0.0,0.0,0.0
Manulife,0.0,0.0,0.0,0.0
Brookfield Asset Management,593.8636133111241,49.292975006512144,12680.839518886565,13323.9961072042
Fairfax,0.0,0.0,0.0,0.0
Intact Financial,0.0,0.0,0.0,0.0
OMERS,0.0,0.0,0.0,0.0
CPPIB,9911.368472285452,822.681887615066,211638.615655945,222372.66601584552
Healthcare of Ontario Pension Plan Trust Fund,15795.741416635752,1311.1075833023592,337288.32259882765,354395.17159876577
OTPP,0.0,0.0,0.0,0.0
OPSEU,0.0,0.0,0.0,0.0
Investment Management of Ontario,44.562506971278836,3.6988602991104056,951.5484478184405,999.8098150888297
